objectid,object_location,identifier,filename,title,description,creator,format,date,date-is-approximate?,subject,location,publisher-digital,source,rights,rightsstatement,type,language
Confluence1,https://www.cityoflewiston.org/ImageRepository/Document?documentID=8206,22-2,22-2.jpg,"""Snake River Rogues"" Quartet, July, 1980.","The ""Snake River Rogues"". First organized quartet at Lewiston Crazy Days, July, 1980. Picture taken at Joanne Candies on Main St. Pictured L to R: John Nordgaard; Jerry Hanowell; Tom Moore; Cliff Carrick",Fred Nordgaard,Original photographic prints scanned on HP 6200C scanner at 75 dpi.,1980-7,2006-12-27,Singers; Barbershop quartets,"Joanne Candies, 838 Main St., Lewiston, Idaho in 1980",Lewiston City Library,Fred Nordgaard Scrapbooks: Lewiston City Library Special Collections,"For permission to publish, please contact Lewiston City Library, 208.743-6519 library@cityoflewiston.org",https://rightsstatements.org/vocab/InC-EDU/1.0/,Photographs; Color photographs,en-US
Confluence2,https://www.cityoflewiston.org/ImageRepository/Document?documentID=8242,A-22-3,A-22-3.jpg,"""Confluence of Note"" First Auditions Night, Setember 9, 1980","""Confluence of Note"" first auditions for admissions night at the LCSC CUB Cafeteria, September 9, 1980.",Fred Nordgaard,Scanned on HP 6200C scanner at 75 dpi.,1980-09-09,2006-12-27,Auditions; Barbershop quartets; Singers,Lewis-Clark State College CUB cafeteria,Lewiston City Library,Fred Nordgaard Scrapbooks: Lewiston City Library Special Collections,"For permission to publish, please contact Lewiston City Library, 208.743-6519 or email: library@cityoflewiston.org",https://rightsstatements.org/vocab/InC-EDU/1.0/,Photographs; Color Photographs,en-US
Confluence3,https://www.cityoflewiston.org/ImageRepository/Document?documentID=8207,34-1,34-1.jpg,"The ""Confluence of Note"" First Photograph","""Confluence of Note"" first photo and first public recognition. Charter night celebration announcement included in article text.",Lewiston Tribune,Scanned on Canoscan 4400F scanner at 75 dpi.,1980-11-11,2007-03-01,Barbershop quartets; Singers;,"Lewiston, Idaho",Lewiston City Library,Fred Nordgaard Scrapbooks: Lewiston City Library Special Collections,"For permission to publish, please contact Lewiston City Library: 208.743-6519 or email: library@cityoflewiston.org",https://rightsstatements.org/vocab/InC-EDU/1.0/,Clippings;,en-US
Confluence4,https://www.cityoflewiston.org/ImageRepository/Document?documentID=8244,A-54-3,A-54-3.jpg,"The ""Confluence of Note"" Ladies Night Installation Banquet","Ladies Night and Installation Banquet, 1981 officers. Fred Nordgaard presenting Jeanne Vallandigham a corsage in appreciation of her help in past shows.",Fred Nordgaard,Scanned on HP 6200C scanner @ 75 dpi,1980-12-6,2006-12-27,"Awards; Banquets; Nordgaard, Fred; Vallandigham, Jeanne;",Lewiston Elks Club,Lewiston City Library,Fred Nordgaard Scrapbooks: Lewiston City Library Special Collections,"For permission to publish, please contact Lewiston City Library: 208.743-6519 or email: library@cityoflewiston.org",https://rightsstatements.org/vocab/InC-EDU/1.0/,,en-US
Confluence5,https://www.cityoflewiston.org/ImageRepository/Document?documentID=8243,A-54-1,A-54-1.jpg,"""Confluence of Note"" Ladies Night Installation Banquet","Ladies Night and Installation Banquet, 1981 officers. Fred Nordgaard presenting our ""founding father"" a plaque of recognition.",Fred Nordgaard,Scanned on HP 6200C scanner @ 75 dpi,1980-12-6,2006-12-27,Awards; Banquets;,Lewiston Elks Club,Lewiston City Library,Fred Nordgaard Scrapbooks: Lewiston City Library Special Collections,"For permission to publish, please contact Lewiston City Library: 208.743-6519 or email: library@cityoflewiston.org",https://rightsstatements.org/vocab/InC-EDU/1.0/,,en-US
Confluence6,https://www.cityoflewiston.org/ImageRepository/Document?documentID=8245,p4012coll4_5_full,p4012coll4_5_full.jpg,"Charter Night Celebration -- November 22, 1980","Charter Night performance, Nov. 22, 1980",Fred Nordgaard,Scanned on HP 6200C scanner at 75 dpi,1980-11-22,2006-12-27,Barbershop quartets; Singers; Celebrations; Premiers,Lewiston High School Auditorium,Lewiston City Library,Fred Nordgaard Scrapbooks: Lewiston City Library Special Collections,"For permission to publish, please contact Lewiston City Library: 208.743-6519 or email: library@cityoflewiston.org",https://rightsstatements.org/vocab/InC-EDU/1.0/,Photographic prints; Photographs;,en-US
Confluence7,https://www.cityoflewiston.org/ImageRepository/Document?documentID=8208,46-2,46-2.jpg,"Charter Night Celebration -- November 22, 1980","Charter Night performance, Nov. 22, 1980. District President Harry Neuwirth presenting Charter to chapter President Fred Nordgaard.",Fred Nordgaard,Scanned on HP 6200C scanner at 75 dpi,1980-11-22,2006-12-27,Barbershop quartets; Celebrations; Premiers; Singers; Singing; Charters,Lewiston High School Auditorium,Lewiston City Library,Fred Nordgaard Scrapbooks: Lewiston City Library Special Collections,"For permission to publish, please contact Lewiston City Library: 208.743-6519 or email: library@cityoflewiston.org",https://rightsstatements.org/vocab/InC-EDU/1.0/,Photographic prints; Photographs,en-US
Confluence8,https://www.cityoflewiston.org/ImageRepository/Document?documentID=8246,p4012coll4_9_full,p4012coll4_9_full.jpg,Official Proclamation of Barbershop Harmony Month,"Barbershop Harmony Month proclamation from Lewiston Mayor Delitha Kilgore, for April, 1981.",City of Lewiston,Scanned on Canon CanoScan 4400F scanner @ 200 dpi,1981-4-13,2007-6-25,"Announcements; Mayors; Barbershop quartets; Kilgore, Delitha",,Lewiston City Library,Fred Nordgaard Scrapbooks: Lewiston City Library Special Collections,,https://rightsstatements.org/vocab/InC-EDU/1.0/,Announcements,en-US
Confluence9,https://www.cityoflewiston.org/ImageRepository/Document?documentID=8211,57-1,57-1.jpg,"Charter Night Celebration -- November 22, 1980","Evergreen District Bulletin (SPEBSQSA) announcing the charter night celebration of the ""Confluence of Note"" held at the Lewiston High School Auditorium.","Evergreen District, SPEBSQSA",Scanned on Canon CanoScan 4400F scanner @ 300 dpi,1981-1-?,2007-6-25,Barbershop quartets; SPEBSQSA; Timbre (Newsletter),,Lewiston City Library,Fred Nordgaard Scrapbooks: Lewiston City Library Special Collections,"For permission to publish, please contact Lewiston City Library: 208.743-6519 or email: library@cityoflewiston.org",https://rightsstatements.org/vocab/InC-EDU/1.0/,Announcements;,en-US
Confluence10,https://www.cityoflewiston.org/ImageRepository/Document?documentID=8220,77-1,77-1.jpg,"Brackenbury Square Dedication Celebration -- November, 1983",Back: Roger Tutty; Martin Riggers; Don Curtis; Dan Zenner; E.L. Stanley; Allen Jones; Front: Jerry Hanowell; Del Collier; Paul Sharrai; Vic Derring; Director: Fred Nordgaard,Fred Nordgaard,Scanned on HP 6200C scanner @ 75 dpi,1983-11-?,2006-12-27,Dedications; Barbershop quartets,,Lewiston City Library,Fred Nordgaard Scrapbooks: Lewiston City Library Special Collections,"For permission to publish, please contact Lewiston City Library: 208.743-6519 or email: library@cityoflewiston.org",https://rightsstatements.org/vocab/InC-EDU/1.0/,Color photographs,en-US
